lr-AdamW,step,train_loss_step,epoch,val_loss,train_loss_epoch
0.0005,0,,,,
,49,-5.541423320770264,0,,
,99,-5.7071428298950195,0,,
,149,-5.676506042480469,0,,
,199,-5.255468845367432,0,,
,249,-5.5663275718688965,0,,
,299,-5.5377020835876465,0,,
,349,-5.77829647064209,0,,
,399,-5.727080345153809,0,,
,449,-5.836531639099121,0,,
,499,-5.505220413208008,0,,
,549,-5.614510536193848,0,,
,599,-5.796347618103027,0,,
,649,-5.648825645446777,0,,
,699,-5.563133716583252,0,,
,749,-5.498958587646484,0,,
,799,-5.6986517906188965,0,,
,849,-5.6462082862854,0,,
,899,-5.433164596557617,0,,
,949,-5.798230171203613,0,,
,999,-5.604118347167969,0,,
,1049,-5.4519171714782715,0,,
,1099,-5.711696624755859,0,,
,1149,-5.670419692993164,0,,
,1199,-5.678406238555908,0,,
,1249,-5.664987564086914,0,,
,1299,-5.682677745819092,0,,
,1349,-5.537533760070801,0,,
,1399,-5.646548748016357,0,,
,1449,-5.78396463394165,0,,
,1499,-5.822917461395264,0,,
,1549,-5.643284797668457,0,,
,1599,-5.455095291137695,0,,
,1649,-5.613874435424805,0,,
,1699,-5.774457931518555,0,,
,1740,,0,-3.1770453453063965,
,1740,,0,,-5.641285419464111
0.0005,1741,,,,
,1749,-5.550694465637207,1,,
,1799,-5.827505588531494,1,,
,1849,-5.573582172393799,1,,
,1899,-5.607442855834961,1,,
,1949,-5.640903472900391,1,,
,1999,-5.622219562530518,1,,
,2049,-5.334072589874268,1,,
,2099,-5.747886657714844,1,,
,2149,-5.857964515686035,1,,
,2199,-5.620199680328369,1,,
,2249,-5.5951337814331055,1,,
,2299,-5.891689300537109,1,,
,2349,-5.659703254699707,1,,
,2399,-5.692201614379883,1,,
,2449,-5.386204242706299,1,,
,2499,-5.702071666717529,1,,
,2549,-5.4964189529418945,1,,
,2599,-5.574769020080566,1,,
,2649,-5.766350269317627,1,,
,2699,-5.767423629760742,1,,
,2749,-5.537540435791016,1,,
,2799,-5.835345268249512,1,,
,2849,-5.573113441467285,1,,
,2899,-5.63355827331543,1,,
,2949,-5.696849822998047,1,,
,2999,-5.789488315582275,1,,
,3049,-5.559294700622559,1,,
,3099,-5.733527183532715,1,,
,3149,-5.58641242980957,1,,
,3199,-5.535261154174805,1,,
,3249,-5.7963762283325195,1,,
,3299,-5.739950656890869,1,,
,3349,-5.519802570343018,1,,
,3399,-5.458361625671387,1,,
,3449,-5.762449264526367,1,,
,3481,,1,-2.2048048973083496,
,3481,,1,,-5.6312384605407715
0.0005,3482,,,,
,3499,-5.768819808959961,2,,
,3549,-5.755724906921387,2,,
,3599,-5.640897750854492,2,,
,3649,-5.6586198806762695,2,,
,3699,-5.977874279022217,2,,
,3749,-5.6629791259765625,2,,
,3799,-5.6036787033081055,2,,
,3849,-5.8184099197387695,2,,
,3899,-5.797802925109863,2,,
,3949,-5.443737506866455,2,,
,3999,-5.498168468475342,2,,
,4049,-5.807602405548096,2,,
,4099,-5.750146865844727,2,,
,4149,-5.824718475341797,2,,
,4199,-5.911642074584961,2,,
,4249,-5.700379848480225,2,,
,4299,-5.668509483337402,2,,
,4349,-5.711035251617432,2,,
,4399,-5.686758995056152,2,,
,4449,-4.259052276611328,2,,
,4499,-5.323421478271484,2,,
,4549,-5.48317813873291,2,,
,4599,-5.677653789520264,2,,
,4649,-5.340273857116699,2,,
,4699,-5.523936748504639,2,,
,4749,-5.725089073181152,2,,
,4799,-5.632922172546387,2,,
,4849,-5.695098400115967,2,,
,4899,-5.712711811065674,2,,
,4949,-5.698116302490234,2,,
,4999,-5.707334041595459,2,,
,5049,-5.550186634063721,2,,
,5099,-5.626585960388184,2,,
,5149,-5.509830474853516,2,,
,5199,-5.679454803466797,2,,
,5222,,2,-4.0757670402526855,
,5222,,2,,-5.567183494567871
0.0005,5223,,,,
,5249,-5.756653785705566,3,,
,5299,-5.426637172698975,3,,
,5349,-5.534035682678223,3,,
,5399,-5.808253288269043,3,,
,5449,-5.5304059982299805,3,,
,5499,-5.639453887939453,3,,
,5549,-5.749260902404785,3,,
,5599,-5.5020551681518555,3,,
,5649,-5.624089241027832,3,,
,5699,-5.616737365722656,3,,
,5749,-5.566220283508301,3,,
,5799,-5.704230785369873,3,,
,5849,-5.56510591506958,3,,
,5899,-5.654737949371338,3,,
,5949,-5.658556938171387,3,,
,5999,-5.678607940673828,3,,
,6049,-5.501334190368652,3,,
,6099,-5.71938419342041,3,,
,6149,-5.72316312789917,3,,
,6199,-5.685760498046875,3,,
,6249,-5.7123308181762695,3,,
,6299,-5.645320892333984,3,,
,6349,-5.653863906860352,3,,
,6399,-5.8030195236206055,3,,
,6449,-5.52810001373291,3,,
,6499,-5.718621730804443,3,,
,6549,-5.725358963012695,3,,
,6599,-5.682665824890137,3,,
,6649,-5.568559169769287,3,,
,6699,-5.733492851257324,3,,
,6749,-5.76177978515625,3,,
,6799,-5.6556806564331055,3,,
,6849,-5.6824951171875,3,,
,6899,-5.634237289428711,3,,
,6949,-5.5592474937438965,3,,
,6963,,3,-4.2711405754089355,
,6963,,3,,-5.655369758605957
0.0005,6964,,,,
,6999,-5.670009613037109,4,,
,7049,-5.807981491088867,4,,
,7099,-5.415907382965088,4,,
,7149,-5.377560615539551,4,,
,7199,-5.827921390533447,4,,
,7249,-5.692600250244141,4,,
,7299,-5.691641330718994,4,,
,7349,-5.7617902755737305,4,,
,7399,-5.663277626037598,4,,
,7449,-5.851069450378418,4,,
,7499,-5.593739986419678,4,,
,7549,-5.817023277282715,4,,
,7599,-5.735996723175049,4,,
,7649,-5.833731174468994,4,,
,7699,-5.523856163024902,4,,
,7749,-5.687327861785889,4,,
,7799,-5.912554740905762,4,,
,7849,-5.592129707336426,4,,
,7899,-5.612701416015625,4,,
,7949,-5.495792865753174,4,,
,7999,-5.587430953979492,4,,
,8049,-5.469461441040039,4,,
,8099,-5.659599304199219,4,,
,8149,-5.635760307312012,4,,
,8199,-5.749544620513916,4,,
,8249,-5.712680816650391,4,,
,8299,-5.6718645095825195,4,,
,8349,-5.611979007720947,4,,
,8399,-5.441122531890869,4,,
,8449,-5.831210136413574,4,,
,8499,-5.465100288391113,4,,
,8549,-4.9635910987854,4,,
,8599,-5.461455345153809,4,,
,8649,-5.621608257293701,4,,
,8699,-5.342861175537109,4,,
,8704,,4,-3.5050413608551025,
,8704,,4,,-5.597519874572754
0.0005,8705,,,,
,8749,-5.612070560455322,5,,
,8799,-5.533114433288574,5,,
,8849,-5.689398765563965,5,,
,8899,-5.671741008758545,5,,
,8949,-5.507621765136719,5,,
,8999,-5.526269912719727,5,,
,9049,-5.443941593170166,5,,
,9099,-5.6986541748046875,5,,
,9149,-5.753350257873535,5,,
,9199,-5.350707054138184,5,,
,9249,-5.762482643127441,5,,
,9299,-5.801699161529541,5,,
,9349,-5.620737075805664,5,,
,9399,-5.510547637939453,5,,
,9449,-5.546324729919434,5,,
,9499,-5.717132568359375,5,,
,9549,-5.368900299072266,5,,
,9599,-5.827543258666992,5,,
,9649,-5.603414058685303,5,,
,9699,-5.543974876403809,5,,
,9749,-5.686735153198242,5,,
,9799,-5.802000999450684,5,,
,9849,-5.484061241149902,5,,
,9899,-5.586405277252197,5,,
,9949,-5.7259721755981445,5,,
,9999,-5.5616960525512695,5,,
,10049,-5.6888628005981445,5,,
,10099,-4.923022270202637,5,,
,10149,-5.6200971603393555,5,,
,10199,-5.440976142883301,5,,
,10249,-5.745610237121582,5,,
,10299,-5.722764015197754,5,,
,10349,-5.621759414672852,5,,
,10399,-5.727713584899902,5,,
,10445,,5,-4.349257469177246,
,10445,,5,,-5.600307941436768
0.0005,10446,,,,
,10449,-5.638497352600098,6,,
,10499,-5.778069496154785,6,,
,10549,-5.663883209228516,6,,
,10599,-5.5549468994140625,6,,
,10649,-5.619766712188721,6,,
,10699,-5.736754417419434,6,,
,10749,-5.634037017822266,6,,
,10799,-5.6526336669921875,6,,
,10849,-5.73763370513916,6,,
,10899,-5.509123802185059,6,,
,10949,-5.588343620300293,6,,
,10999,-5.709527015686035,6,,
,11049,-5.7451324462890625,6,,
,11099,-5.656423568725586,6,,
,11149,-5.763568878173828,6,,
,11199,-5.720797061920166,6,,
,11249,-5.636077404022217,6,,
,11299,-5.6548895835876465,6,,
,11349,-5.870687484741211,6,,
,11399,-5.611550331115723,6,,
,11449,-5.581487655639648,6,,
,11499,-5.530481338500977,6,,
,11549,-5.7522172927856445,6,,
,11599,-5.792656898498535,6,,
,11649,-5.549406051635742,6,,
,11699,-5.654026031494141,6,,
,11749,-5.783211708068848,6,,
,11799,-5.841784477233887,6,,
,11849,-5.699165344238281,6,,
,11899,-5.6531476974487305,6,,
,11949,-5.6874237060546875,6,,
,11999,-5.487397193908691,6,,
,12049,-5.620659828186035,6,,
,12099,-5.369467258453369,6,,
,12149,-5.546327114105225,6,,
,12186,,6,-4.456091403961182,
,12186,,6,,-5.662045001983643
0.0005,12187,,,,
,12199,-5.767901420593262,7,,
,12249,-5.585483551025391,7,,
,12299,-5.812986373901367,7,,
,12349,-5.834480285644531,7,,
,12399,-5.566775798797607,7,,
,12449,-5.742631912231445,7,,
,12499,-5.451714992523193,7,,
,12549,-5.728750705718994,7,,
,12599,-5.802557945251465,7,,
,12649,-5.514007568359375,7,,
,12699,-5.654160976409912,7,,
,12749,-5.42227840423584,7,,
,12799,-5.541849136352539,7,,
,12849,-5.53507137298584,7,,
,12899,-5.668969631195068,7,,
,12949,-5.5426435470581055,7,,
,12999,-5.7203569412231445,7,,
,13049,-5.583463668823242,7,,
,13099,-5.796942710876465,7,,
,13149,-5.733028411865234,7,,
,13199,-5.770401954650879,7,,
,13249,-5.73833703994751,7,,
,13299,-5.7513837814331055,7,,
,13349,-5.606900215148926,7,,
,13399,-5.650758743286133,7,,
,13449,-5.585323333740234,7,,
,13499,-5.69011116027832,7,,
,13549,-5.505303382873535,7,,
,13599,-5.581263542175293,7,,
,13649,-5.595548629760742,7,,
,13699,-5.672763824462891,7,,
,13749,-5.857564449310303,7,,
,13799,-5.6322021484375,7,,
,13849,-5.784668922424316,7,,
,13899,-5.670783042907715,7,,
,13927,,7,-3.166661500930786,
,13927,,7,,-5.656228065490723
0.0005,13928,,,,
,13949,-5.891232013702393,8,,
,13999,-5.591804027557373,8,,
,14049,-5.66942834854126,8,,
,14099,-5.69866418838501,8,,
,14149,-5.574331283569336,8,,
,14199,-5.800786972045898,8,,
,14249,-5.6950249671936035,8,,
,14299,-5.794970512390137,8,,
,14349,-5.796479225158691,8,,
,14399,-5.67263650894165,8,,
,14449,-5.6508893966674805,8,,
,14499,-5.531434059143066,8,,
,14549,-5.527073860168457,8,,
,14599,-5.55242919921875,8,,
,14649,-5.699369430541992,8,,
,14699,-5.801752090454102,8,,
,14749,-5.47580623626709,8,,
,14799,-5.717036247253418,8,,
,14849,-5.390094757080078,8,,
,14899,-5.365633964538574,8,,
,14949,-5.651339530944824,8,,
,14999,-5.680225849151611,8,,
,15049,-5.109638690948486,8,,
,15099,-2.9129180908203125,8,,
,15149,-4.449007987976074,8,,
,15199,-5.235864162445068,8,,
,15249,-5.183592319488525,8,,
,15299,-5.422430515289307,8,,
,15349,-5.044218063354492,8,,
,15399,-5.156211853027344,8,,
,15449,-5.5843505859375,8,,
,15499,-5.557600021362305,8,,
,15549,-5.597072601318359,8,,
,15599,-5.570590972900391,8,,
,15649,-5.576105117797852,8,,
,15668,,8,-3.880354404449463,
,15668,,8,,-5.466573715209961
0.0005,15669,,,,
,15699,-5.539092063903809,9,,
,15749,-5.5342254638671875,9,,
,15799,-5.594042778015137,9,,
,15849,-5.420612335205078,9,,
,15899,-5.809176445007324,9,,
,15949,-5.6706013679504395,9,,
,15999,-5.6093668937683105,9,,
,16049,-5.7266950607299805,9,,
,16099,-5.722066879272461,9,,
,16149,-5.802817344665527,9,,
,16199,-5.510626792907715,9,,
,16249,-5.599343776702881,9,,
,16299,-5.828561305999756,9,,
,16349,-5.669495582580566,9,,
